ID,Author,average_rate,first_genre
854,Bronisław Malinowski,,
855,Massimo Pigliucci,,
856,Joan Rylen,3.99,romance
857,Michelin Travel,,
858,Sarah K. Stephens,,
859,Paula Hawkins,,
860,Jessica Francis Kane,,
861,A.X. Ahmad,,
862,Tana French,,
863,P.D. James,,
864,L.S. Hawker,,
866,Peter M. Wheelwright,,
867,Peter Matthiessen,,
868,E. Annie Proulx,,
869,Saul Bellow,,
870,Walker Percy,,
871,Helen Cadbury,,
872,Louise Welsh,,
873,Mark Billingham,,
874,Karin Fossum,,
875,George Pelecanos,,
876,John M. Dow,,
877,H. P. Lovecraft,,
878,James Herbert,,
879,Tomas O'Crohan,,
880,Pierre Loti,,
881,Maxim Gorky,,
882,David W.  Robinson,,
883,Montague Rhodes James,,
884,Keith Waterhouse,3.96,fiction
885,Eric Tanafon,,
886,Tim Powers,,
887,R.A. Lafferty,,
888,Angelique Jurd,,
889,Bruce Springsteen,,
890,F. Scott Fitzgerald,,
891,J.M. Wolf,,
892,Sloane Kennedy,,
893,Lucy Lennox,,
894,TJ Klune,,
895,Jex Lane,,
896,صلاح عبد الفتاح الخالدي,,
897,سيد قطب,,
898,Nico Bally,,
899,Jason Finnerty,,
900,Jim Butcher,,
901,David Blistein,,
902,Elmer M. Blistein,,
903,Erich Maria Remarque,,
904,Eva Hudson,,
905,Kate Atkinson,,
906,J.  Conrad,,
907,Meredith Ann Pierce,,
908,Marion Zimmer Bradley,,
909,Gabrielle Arrowsmith,,
910,Scott Westerfeld,,
911,Jamie Chambers,,
912,Andrew  Lowe,,
913,Martin Amis,,
914,Neil Cross,,
915,Ian McEwan,,
916,Colette London,,
917,Lisa Plumley,,
918,Karen  Bush Gibson,,
920,Phoebe North,,
921,Justine Larbalestier,,
922,Meg Rosoff,,
923,Madeleine L'Engle,,
924,"Kirsten ""Kiwi"" Smith",,
925,Madonna,,
926,Courtney Love,,
927,Sharon Olds,,
928,Lauren Bjorkman,,
929,Ellen Wittlinger,,
930,Carolyn Mackler,,
931,Adam Young,,
932,Mark Ambient,,
933,Zachary Rawlins,,
934,William S. Burroughs,,
935,Warren Ellis,,
936,R.F. Foster,,
937,F.S.L. Lyons,,
938,T. W. Moody,,
939,Elisabeth Wheatley,,
940,Shannon Hale,,
